date,open,high,low,close,volume,average,barCount,datetime,price_change,volume_ma
2025-07-11 15:30:00+02:00,1.9,1.95,1.85,1.9,145.0,1.895,13,2025-07-11 15:30:00+02:00,,
2025-07-11 16:00:00+02:00,1.85,2.0,1.85,2.0,53.0,1.925,16,2025-07-11 16:00:00+02:00,0.05263157894736836,
2025-07-11 17:00:00+02:00,1.95,2.0,1.95,2.0,26.0,2.0,2,2025-07-11 17:00:00+02:00,0.0,
2025-07-11 18:00:00+02:00,1.95,1.95,1.9,1.95,40.0,1.94,5,2025-07-11 18:00:00+02:00,-0.025000000000000022,
2025-07-11 19:00:00+02:00,2.0,2.0,1.95,2.0,10.0,1.98,2,2025-07-11 19:00:00+02:00,0.025641025641025772,54.8
2025-07-11 20:00:00+02:00,1.9,2.0,1.9,2.0,45.0,1.94,5,2025-07-11 20:00:00+02:00,0.0,34.8
2025-07-11 21:00:00+02:00,1.95,1.95,1.95,1.95,11.0,1.95,2,2025-07-11 21:00:00+02:00,-0.025000000000000022,26.4
2025-07-14 15:30:00+02:00,2.05,2.2,2.05,2.2,102.0,2.2,3,2025-07-14 15:30:00+02:00,0.12820512820512842,41.6
2025-07-14 16:00:00+02:00,2.1,2.2,2.05,2.15,79.0,2.11,22,2025-07-14 16:00:00+02:00,-0.022727272727272818,49.4
2025-07-14 17:00:00+02:00,2.1,2.1,2.0,2.05,33.0,2.07,9,2025-07-14 17:00:00+02:00,-0.04651162790697683,54.0
2025-07-14 18:00:00+02:00,2.05,2.1,2.05,2.1,54.0,2.055,3,2025-07-14 18:00:00+02:00,0.024390243902439046,55.8
2025-07-14 19:00:00+02:00,2.05,2.05,2.05,2.05,1.0,2.05,1,2025-07-14 19:00:00+02:00,-0.023809523809523947,53.8
2025-07-14 20:00:00+02:00,2.05,2.1,2.05,2.1,121.0,2.05,3,2025-07-14 20:00:00+02:00,0.024390243902439046,57.6
2025-07-14 21:00:00+02:00,2.0,2.0,1.95,1.95,5.0,1.98,2,2025-07-14 21:00:00+02:00,-0.07142857142857151,42.8
2025-07-15 15:30:00+02:00,2.15,2.15,2.15,2.15,50.0,2.15,3,2025-07-15 15:30:00+02:00,0.10256410256410264,46.2
2025-07-15 16:00:00+02:00,2.1,2.15,2.05,2.15,9.0,2.135,4,2025-07-15 16:00:00+02:00,0.0,37.2
2025-07-15 17:00:00+02:00,2.15,2.15,2.15,2.15,0.0,2.15,0,2025-07-15 17:00:00+02:00,0.0,37.0
2025-07-15 18:00:00+02:00,2.05,2.1,2.05,2.1,7.0,2.095,3,2025-07-15 18:00:00+02:00,-0.023255813953488302,14.2
2025-07-15 19:00:00+02:00,2.1,2.1,2.0,2.0,57.0,2.025,8,2025-07-15 19:00:00+02:00,-0.04761904761904767,24.6
2025-07-15 20:00:00+02:00,2.0,2.0,2.0,2.0,5.0,2.0,1,2025-07-15 20:00:00+02:00,0.0,15.6
2025-07-15 21:00:00+02:00,2.0,2.1,1.95,2.1,52.0,2.05,4,2025-07-15 21:00:00+02:00,0.050000000000000044,24.2
2025-07-16 15:30:00+02:00,1.9,2.0,1.9,1.95,21.0,1.9,2,2025-07-16 15:30:00+02:00,-0.07142857142857151,28.4
2025-07-16 16:00:00+02:00,2.0,2.2,1.75,2.0,48.0,2.015,11,2025-07-16 16:00:00+02:00,0.025641025641025772,36.6
2025-07-16 17:00:00+02:00,2.0,2.15,1.9,2.1,53.0,2.045,15,2025-07-16 17:00:00+02:00,0.050000000000000044,35.8
2025-07-16 18:00:00+02:00,2.15,2.2,2.15,2.15,1.0,2.15,1,2025-07-16 18:00:00+02:00,0.023809523809523725,35.0
2025-07-16 19:00:00+02:00,2.15,2.2,2.1,2.2,8.0,2.175,2,2025-07-16 19:00:00+02:00,0.023255813953488413,26.2
2025-07-16 20:00:00+02:00,2.2,2.2,2.2,2.2,0.0,2.2,0,2025-07-16 20:00:00+02:00,0.0,22.0
2025-07-16 21:00:00+02:00,2.05,2.2,2.05,2.1,29.0,2.185,3,2025-07-16 21:00:00+02:00,-0.045454545454545525,18.2
2025-07-17 16:00:00+02:00,2.05,2.1,2.05,2.1,2.0,2.075,2,2025-07-17 16:00:00+02:00,0.0,8.0
2025-07-17 17:00:00+02:00,2.2,2.25,2.1,2.1,3.0,2.15,3,2025-07-17 17:00:00+02:00,0.0,8.4
2025-07-17 18:00:00+02:00,2.1,2.1,2.1,2.1,0.0,2.1,0,2025-07-17 18:00:00+02:00,0.0,6.8
2025-07-17 19:00:00+02:00,2.2,2.2,2.1,2.1,5.0,2.18,5,2025-07-17 19:00:00+02:00,0.0,7.8
2025-07-17 20:00:00+02:00,2.25,2.25,2.1,2.1,17.0,2.17,5,2025-07-17 20:00:00+02:00,0.0,5.4
2025-07-17 21:00:00+02:00,2.1,2.1,2.1,2.1,0.0,2.1,0,2025-07-17 21:00:00+02:00,0.0,5.0
